TRS_TYPE,NAMAOUTLET,TGL_INVC,NAMABARANG,QTYSALES
SALES,NUSA INDAH.Ap,01-08-2022,CHAMPS VIT C 100MG (BTL/30),4
SALES,RAYA III.Ap,01-08-2022,CHAMPS VIT C 100MG (BTL/30),4
SALES,KASIH AGAPE.Ap,01-10-2022,CHAMPS VIT C 100MG (BTL/30),4
SALES,KASIH AGAPE.Ap,01-10-2022,NATURALLE VIT E 250IU (BTL/30S),1
SALES,MATAHARI.Ap,01-11-2022,CHAMPS VIT C 100MG (BTL/30),7
SALES,PT. KALIMAS GLOBAL ASIA,01-11-2022,NATURALLE GARLIC OIL 3000MG (BTL/100S),36
SALES,PT. KALIMAS GLOBAL ASIA,01-11-2022,NATURALLE KACIP FATIMAH PLUS (BTL/60),12
SALES,SAUDARA JAYA.Ap,01-12-2022,CHAMPS VIT C 100MG (BTL/30),12
SALES,SAUDARA JAYA.Ap,01-12-2022,NATURALLE GARLIC OIL 3000MG (BTL/100S),12
SALES,SAUDARA JAYA.Ap,01-12-2022,NATURALLE TONGKAT ALI PLUS (BTL/60),6
SALES,SAUDARA JAYA.Ap,01-12-2022,NATURALLE KACIP FATIMAH PLUS (BTL/60),6
SALES,MW RAMBUTAN 2.Ap,01-12-2022,CHAMPS VIT C 100MG (BTL/30),4
SALES,MW RAMBUTAN 2.Ap,01-12-2022,MAXITON SOFT CAP (BTL/30S),1
SALES,SAUDARA JAYA.Ap,01-12-2022,CHAMPS VIT C 100MG (BTL/30),50
SALES,SAUDARA JAYA.Ap,01-12-2022,NATURALLE VIT E 250IU (BTL/30S),1
SALES,SAUDARA JAYA.Ap,01-12-2022,NATURALLE VIT E 250IU (BTL/30S),23
SALES,SAUDARA JAYA.Ap,01-12-2022,NATURALLE FISH OIL 1000MG (BTL/60S),12
SALES,SAUDARA JAYA.Ap,01-12-2022,NATURALLE GARLIC OIL 3000MG (BTL/100S),12
SALES,SAUDARA JAYA.Ap,01-12-2022,NATURALLE TONGKAT ALI PLUS (BTL/60),6
SALES,SAUDARA JAYA.Ap,01-12-2022,NATURALLE KACIP FATIMAH PLUS (BTL/60),5
SALES,SAUDARA JAYA.Ap,01-12-2022,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),25
SALES,GANDA.Ap,01-13-2022,CHAMPS VIT C 100MG (BTL/30),3
SALES,BINTANG FARMA. CV,01-13-2022,NATURALLE FISH OIL 1000MG (BTL/60S),36
SALES,BINTANG FARMA. CV,01-13-2022,NATURALLE BETA CAROTENE 6MG (BTL/30S),54
SALES,BINTANG FARMA. CV,01-13-2022,NATURALLE TONGKAT ALI PLUS (BTL/60),4
SALES,SUMBER SEGAR LESTARI.CV (BRASTAGI RANTAU),01-14-2022,NATURALLE VIT E 250IU (BTL/30S),3
SALES,SUMBER SEGAR LESTARI.CV (BRASTAGI RANTAU),01-14-2022,NATURALLE GARLIC OIL 3000MG (BTL/100S),3
SALES,BONA 1. AP,01-14-2022,MAXITON SOFT CAP (BTL/30S),12
SALES,DEBY CYNTIA.Bidan,01-15-2022,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),1
SALES,PT. KALIMAS GLOBAL ASIA,01-15-2022,NATURALLE FISH OIL 1000MG (BTL/60S),36
SALES,BRAYAN.AP,01-15-2022,MAXITON SOFT CAP (BTL/30S),2
RETUR,KASIH.Ap,01-17-2022,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),-4
SALES,RAYA III.Ap,01-17-2022,MAXITON SOFT CAP (BTL/30S),1
SALES,SINAR BINTANG.Ap,01-17-2022,MAXITON SOFT CAP (BTL/30S),7
SALES,SINAR BINTANG.Ap,01-17-2022,NATURALLE TONGKAT ALI PLUS (BTL/60),4
RETUR,BONA 1.Ap,01-18-2022,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),-1
RETUR,BONA 1.Ap,01-18-2022,NATURALLE GARLIC OIL 3000MG (BTL/100S),-6
RETUR,BONA 1.Ap,01-18-2022,NATURALLE GARLIC OIL 3000MG (BTL/100S),-2
RETUR,BALI.TO,01-18-2022,NATURALLE VIT E 250IU (BTL/30S),-16
SALES,dr. Silvia Karlia. Prtk.,01-19-2022,MAXITON SOFT CAP (BTL/30S),1
SALES,GABE REJEKI.Ap,01-19-2022,MAXITON SOFT CAP (BTL/30S),1
SALES,KARYA RAYA.Ap,01-19-2022,MAXITON SOFT CAP (BTL/30S),4
RETUR,BIOS JAYA .AP,01-20-2022,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),-1
RETUR,BIOS JAYA .AP,01-20-2022,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),-1
