TRS_TYPE,NAMAOUTLET,TGL_INVC,NAMABARANG,QTYSALES
SALES,NUSA INDAH.Ap,08-01-2022,CHAMPS VIT C 100MG (BTL/30),4
SALES,RAYA III.Ap,08-01-2022,CHAMPS VIT C 100MG (BTL/30),4
SALES,KASIH AGAPE.Ap,10-01-2022,CHAMPS VIT C 100MG (BTL/30),4
SALES,KASIH AGAPE.Ap,10-01-2022,NATURALLE VIT E 250IU (BTL/30S),1
SALES,MATAHARI.Ap,11-01-2022,CHAMPS VIT C 100MG (BTL/30),7
SALES,PT. KALIMAS GLOBAL ASIA,11-01-2022,NATURALLE GARLIC OIL 3000MG (BTL/100S),36
SALES,PT. KALIMAS GLOBAL ASIA,11-01-2022,NATURALLE KACIP FATIMAH PLUS (BTL/60),12
SALES,SAUDARA JAYA.Ap,12-01-2022,CHAMPS VIT C 100MG (BTL/30),12
SALES,SAUDARA JAYA.Ap,12-01-2022,NATURALLE GARLIC OIL 3000MG (BTL/100S),12
SALES,SAUDARA JAYA.Ap,12-01-2022,NATURALLE TONGKAT ALI PLUS (BTL/60),6
SALES,SAUDARA JAYA.Ap,12-01-2022,NATURALLE KACIP FATIMAH PLUS (BTL/60),6
SALES,MW RAMBUTAN 2.Ap,12-01-2022,CHAMPS VIT C 100MG (BTL/30),4
SALES,MW RAMBUTAN 2.Ap,12-01-2022,MAXITON SOFT CAP (BTL/30S),1
SALES,SAUDARA JAYA.Ap,12-01-2022,CHAMPS VIT C 100MG (BTL/30),50
SALES,SAUDARA JAYA.Ap,12-01-2022,NATURALLE VIT E 250IU (BTL/30S),1
SALES,SAUDARA JAYA.Ap,12-01-2022,NATURALLE VIT E 250IU (BTL/30S),23
SALES,SAUDARA JAYA.Ap,12-01-2022,NATURALLE FISH OIL 1000MG (BTL/60S),12
SALES,SAUDARA JAYA.Ap,12-01-2022,NATURALLE GARLIC OIL 3000MG (BTL/100S),12
SALES,SAUDARA JAYA.Ap,12-01-2022,NATURALLE TONGKAT ALI PLUS (BTL/60),6
SALES,SAUDARA JAYA.Ap,12-01-2022,NATURALLE KACIP FATIMAH PLUS (BTL/60),5
SALES,SAUDARA JAYA.Ap,12-01-2022,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),25
SALES,GANDA.Ap,13-01-2022,CHAMPS VIT C 100MG (BTL/30),3
SALES,BINTANG FARMA. CV,13-01-2022,NATURALLE FISH OIL 1000MG (BTL/60S),36
SALES,BINTANG FARMA. CV,13-01-2022,NATURALLE BETA CAROTENE 6MG (BTL/30S),54
SALES,BINTANG FARMA. CV,13-01-2022,NATURALLE TONGKAT ALI PLUS (BTL/60),4
SALES,SUMBER SEGAR LESTARI.CV (BRASTAGI RANTAU),14-01-2022,NATURALLE VIT E 250IU (BTL/30S),3
SALES,SUMBER SEGAR LESTARI.CV (BRASTAGI RANTAU),14-01-2022,NATURALLE GARLIC OIL 3000MG (BTL/100S),3
SALES,BONA 1. AP,14-01-2022,MAXITON SOFT CAP (BTL/30S),12
SALES,DEBY CYNTIA.Bidan,15-01-2022,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),1
SALES,PT. KALIMAS GLOBAL ASIA,15-01-2022,NATURALLE FISH OIL 1000MG (BTL/60S),36
SALES,BRAYAN.AP,15-01-2022,MAXITON SOFT CAP (BTL/30S),2
RETUR,KASIH.Ap,17-01-2022,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),-4
SALES,RAYA III.Ap,17-01-2022,MAXITON SOFT CAP (BTL/30S),1
SALES,SINAR BINTANG.Ap,17-01-2022,MAXITON SOFT CAP (BTL/30S),7
SALES,SINAR BINTANG.Ap,17-01-2022,NATURALLE TONGKAT ALI PLUS (BTL/60),4
RETUR,BONA 1.Ap,18-01-2022,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),-1
RETUR,BONA 1.Ap,18-01-2022,NATURALLE GARLIC OIL 3000MG (BTL/100S),-6
RETUR,BONA 1.Ap,18-01-2022,NATURALLE GARLIC OIL 3000MG (BTL/100S),-2
RETUR,BALI.TO,18-01-2022,NATURALLE VIT E 250IU (BTL/30S),-16
SALES,dr. Silvia Karlia. Prtk.,19-01-2022,MAXITON SOFT CAP (BTL/30S),1
SALES,GABE REJEKI.Ap,19-01-2022,MAXITON SOFT CAP (BTL/30S),1
SALES,KARYA RAYA.Ap,19-01-2022,MAXITON SOFT CAP (BTL/30S),4
RETUR,BIOS JAYA .AP,20-01-2022,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),-1
RETUR,BIOS JAYA .AP,20-01-2022,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),-1
RETUR,KALIMAS.Ap,20-01-2022,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),-7
SALES,BINTANG FARMA. CV,20-01-2022,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),24
SALES,BINTANG FARMA. CV,20-01-2022,NATURALLE BETA CAROTENE 6MG (BTL/30S),18
SALES,RIDHO.Ap,20-01-2022,MAXITON SOFT CAP (BTL/30S),1
SALES,PT. KALIMAS GLOBAL ASIA,20-01-2022,NATURALLE VIT E 250IU (BTL/30S),36
SALES,BINTANG FARMA. CV,21-01-2022,CHAMPS VIT C 100MG (BTL/30),24
SALES,TERANG FARMA.Ap,21-01-2022,MAXITON SOFT CAP (BTL/30S),1
SALES,TERANG FARMA.Ap,21-01-2022,NATURALLE FISH OIL 1000MG (BTL/60S),1
SALES,BINTANG FARMA. CV,22-01-2022,NATURALLE VIT E 250IU (BTL/30S),30
SALES,BINTANG FARMA. CV,22-01-2022,NATURALLE GARLIC OIL 3000MG (BTL/100S),24
SALES,ANUGRAH PERSADA.Ap,22-01-2022,NATURALLE FISH OIL 1000MG (BTL/60S),2
SALES,AGUNG.TO,24-01-2022,NATURALLE BETA CAROTENE 6MG (BTL/30S),24
SALES,AGUNG.TO,24-01-2022,NATURALLE VIT E 250IU (BTL/30S),36
SALES,AGUNG.TO,24-01-2022,NATURALLE FISH OIL 1000MG (BTL/60S),36
SALES,PT. KALIMAS GLOBAL ASIA,24-01-2022,NATURALLE FISH OIL 1000MG (BTL/60S),36
SALES,SOLO BARU.TO,24-01-2022,NATURALLE TONGKAT ALI PLUS (BTL/60),4
