NO,TRS_TYPE,NOCUST,NAMAOUTLET,ALAMATOUTLET,KOTA,CABANG,KODE_SEKTORAL,NO_INVC,TGL_INVC,KODEBARANG,NAMABARANG,KEMASAN,QTYSALES,QTYBONUS,VALUEHNA,SPEC_DISC,DISC_DBM,SALES_DISC,CASH1_DISC,VALUE_NET_SALES,EXP_DATE,BATCH_NUM,Month,NAMASALESMAN
280,SALES,1400474,NUSA INDAH.Ap,JL NUSA INDAH RAYA NO.7,MEDAN,DBM Medan,AAPR,MDA-SPJ-22000218,08/01/2022,CCM005,CHAMPS VIT C 100MG (BTL/30),BTL,4,0,112000,10,0,0,0,100800,45444,2107236,1,FITRI HANDAYANI
281,SALES,1407917,RAYA III.Ap,JL. KELAMBIR LIMA NO. 150 TJ. GUSTA,MEDAN,DBM Medan,AAPR,MDA-SPJ-22000219,08/01/2022,CCM005,CHAMPS VIT C 100MG (BTL/30),BTL,4,0,112000,10,0,0,0,100800,45444,2107236,1,FITRI HANDAYANI
282,SALES,1409429,KASIH AGAPE.Ap,JL. JAMIN GINTING NO. 113 B SIMP. SIMALINGKAR,MEDAN,DBM Medan,AAPR,MDA-SPJ-22000276,10/01/2022,CCM005,CHAMPS VIT C 100MG (BTL/30),BTL,4,0,112000,10,0,0,0,100800,45444,2107236,1,FITRI HANDAYANI
283,SALES,1409429,KASIH AGAPE.Ap,JL. JAMIN GINTING NO. 113 B SIMP. SIMALINGKAR,MEDAN,DBM Medan,AAPR,MDA-SPJ-22000276,10/01/2022,CCM008,NATURALLE VIT E 250IU (BTL/30S),BTL,1,0,82000,15,0,0,0,69700,45078,2007262,1,FITRI HANDAYANI
284,SALES,1409174,MATAHARI.Ap,JL.MERDEKA NO. 33,P. SIANTAR,DBM Medan,AAPR,MDA-SPJ-22000365,11/01/2022,CCM005,CHAMPS VIT C 100MG (BTL/30),BTL,7,0,196000,15,0,0,0,166600,45444,2107236,1,BUDIONO (ALL SEKTOR)
285,SALES,14000968,PT. KALIMAS GLOBAL ASIA,JL.SETIA BUDI NO 133,MEDAN,DBM Medan,AAPR,MDA-SPJ-22000392,11/01/2022,CCM011,NATURALLE GARLIC OIL 3000MG (BTL/100S),BTL,36,0,3420000,30,0,0,0,2394000,45139,2009092,1,HERIADI (AP & RS)
286,SALES,14000968,PT. KALIMAS GLOBAL ASIA,JL.SETIA BUDI NO 133,MEDAN,DBM Medan,AAPR,MDA-SPJ-22000392,11/01/2022,CCM015,NATURALLE KACIP FATIMAH PLUS (BTL/60),BTL,12,0,960000,20,0,0,0,768000,45261,2101298,1,HERIADI (AP & RS)
287,SALES,1407000,SAUDARA JAYA.Ap,JL. MARGA SILIMA NO. 49,SIDIKALANG,DBM Medan,AAPR,MDA-SPJ-22000469,12/01/2022,CCM005,CHAMPS VIT C 100MG (BTL/30),BTL,12,0,336000,20,0,0,0,268800,45444,2107236,1,AZIS SYAHPUTRA (AP&RS)
288,SALES,1407000,SAUDARA JAYA.Ap,JL. MARGA SILIMA NO. 49,SIDIKALANG,DBM Medan,AAPR,MDA-SPJ-22000469,12/01/2022,CCM011,NATURALLE GARLIC OIL 3000MG (BTL/100S),BTL,12,0,1140000,30,0,0,0,798000,45139,2009092,1,AZIS SYAHPUTRA (AP&RS)
289,SALES,1407000,SAUDARA JAYA.Ap,JL. MARGA SILIMA NO. 49,SIDIKALANG,DBM Medan,AAPR,MDA-SPJ-22000469,12/01/2022,CCM014,NATURALLE TONGKAT ALI PLUS (BTL/60),BTL,6,0,666000,10,0,0,0,599400,45261,2101299,1,AZIS SYAHPUTRA (AP&RS)
290,SALES,1407000,SAUDARA JAYA.Ap,JL. MARGA SILIMA NO. 49,SIDIKALANG,DBM Medan,AAPR,MDA-SPJ-22000469,12/01/2022,CCM015,NATURALLE KACIP FATIMAH PLUS (BTL/60),BTL,6,0,480000,10,0,0,0,432000,45261,2101298,1,AZIS SYAHPUTRA (AP&RS)
291,SALES,1410401,MW RAMBUTAN 2.Ap,JL. SETIA BUDI PASAR I NO. 135 MEDAN SELAYANG,MEDAN,DBM Medan,AAPR,MDA-SPJ-22000477,12/01/2022,CCM005,CHAMPS VIT C 100MG (BTL/30),BTL,4,0,112000,10,0,0,0,100800,45444,2107236,1,FITRI HANDAYANI
292,SALES,1410401,MW RAMBUTAN 2.Ap,JL. SETIA BUDI PASAR I NO. 135 MEDAN SELAYANG,MEDAN,DBM Medan,AAPR,MDA-SPJ-22000477,12/01/2022,CCM006,MAXITON SOFT CAP (BTL/30S),BTL,1,0,94000,0,0,0,0,94000,45474,2108157,1,FITRI HANDAYANI
293,SALES,1407000,SAUDARA JAYA.Ap,JL. MARGA SILIMA NO. 49,SIDIKALANG,DBM Medan,AAPR,MDA-SPJ-22000486,12/01/2022,CCM005,CHAMPS VIT C 100MG (BTL/30),BTL,50,0,1400000,20,0,0,0,1120000,45444,2107236,1,AZIS SYAHPUTRA (AP&RS)
