TRS_TYPE,NAMAOUTLET,TGL_INVC,NAMABARANG,QTYSALES
SALES,NUSA INDAH.Ap,44569,CHAMPS VIT C 100MG (BTL/30),4
SALES,RAYA III.Ap,44569,CHAMPS VIT C 100MG (BTL/30),4
SALES,KASIH AGAPE.Ap,44571,CHAMPS VIT C 100MG (BTL/30),4
SALES,KASIH AGAPE.Ap,44571,NATURALLE VIT E 250IU (BTL/30S),1
SALES,MATAHARI.Ap,44572,CHAMPS VIT C 100MG (BTL/30),7
SALES,PT. KALIMAS GLOBAL ASIA,44572,NATURALLE GARLIC OIL 3000MG (BTL/100S),36
SALES,PT. KALIMAS GLOBAL ASIA,44572,NATURALLE KACIP FATIMAH PLUS (BTL/60),12
SALES,SAUDARA JAYA.Ap,44573,CHAMPS VIT C 100MG (BTL/30),12
SALES,SAUDARA JAYA.Ap,44573,NATURALLE GARLIC OIL 3000MG (BTL/100S),12
SALES,SAUDARA JAYA.Ap,44573,NATURALLE TONGKAT ALI PLUS (BTL/60),6
SALES,SAUDARA JAYA.Ap,44573,NATURALLE KACIP FATIMAH PLUS (BTL/60),6
SALES,MW RAMBUTAN 2.Ap,44573,CHAMPS VIT C 100MG (BTL/30),4
SALES,MW RAMBUTAN 2.Ap,44573,MAXITON SOFT CAP (BTL/30S),1
SALES,SAUDARA JAYA.Ap,44573,CHAMPS VIT C 100MG (BTL/30),50
SALES,SAUDARA JAYA.Ap,44573,NATURALLE VIT E 250IU (BTL/30S),1
SALES,SAUDARA JAYA.Ap,44573,NATURALLE VIT E 250IU (BTL/30S),23
SALES,SAUDARA JAYA.Ap,44573,NATURALLE FISH OIL 1000MG (BTL/60S),12
SALES,SAUDARA JAYA.Ap,44573,NATURALLE GARLIC OIL 3000MG (BTL/100S),12
SALES,SAUDARA JAYA.Ap,44573,NATURALLE TONGKAT ALI PLUS (BTL/60),6
SALES,SAUDARA JAYA.Ap,44573,NATURALLE KACIP FATIMAH PLUS (BTL/60),5
SALES,SAUDARA JAYA.Ap,44573,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),25
SALES,GANDA.Ap,44574,CHAMPS VIT C 100MG (BTL/30),3
SALES,BINTANG FARMA. CV,44574,NATURALLE FISH OIL 1000MG (BTL/60S),36
SALES,BINTANG FARMA. CV,44574,NATURALLE BETA CAROTENE 6MG (BTL/30S),54
SALES,BINTANG FARMA. CV,44574,NATURALLE TONGKAT ALI PLUS (BTL/60),4
SALES,SUMBER SEGAR LESTARI.CV (BRASTAGI RANTAU),44575,NATURALLE VIT E 250IU (BTL/30S),3
SALES,SUMBER SEGAR LESTARI.CV (BRASTAGI RANTAU),44575,NATURALLE GARLIC OIL 3000MG (BTL/100S),3
SALES,BONA 1. AP,44575,MAXITON SOFT CAP (BTL/30S),12
SALES,DEBY CYNTIA.Bidan,44576,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),1
SALES,PT. KALIMAS GLOBAL ASIA,44576,NATURALLE FISH OIL 1000MG (BTL/60S),36
SALES,BRAYAN.AP,44576,MAXITON SOFT CAP (BTL/30S),2
RETUR,KASIH.Ap,44578,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),-4
SALES,RAYA III.Ap,44578,MAXITON SOFT CAP (BTL/30S),1
SALES,SINAR BINTANG.Ap,44578,MAXITON SOFT CAP (BTL/30S),7
SALES,SINAR BINTANG.Ap,44578,NATURALLE TONGKAT ALI PLUS (BTL/60),4
RETUR,BONA 1.Ap,44579,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),-1
RETUR,BONA 1.Ap,44579,NATURALLE GARLIC OIL 3000MG (BTL/100S),-6
RETUR,BONA 1.Ap,44579,NATURALLE GARLIC OIL 3000MG (BTL/100S),-2
RETUR,BALI.TO,44579,NATURALLE VIT E 250IU (BTL/30S),-16
SALES,dr. Silvia Karlia. Prtk.,44580,MAXITON SOFT CAP (BTL/30S),1
SALES,GABE REJEKI.Ap,44580,MAXITON SOFT CAP (BTL/30S),1
SALES,KARYA RAYA.Ap,44580,MAXITON SOFT CAP (BTL/30S),4
RETUR,BIOS JAYA .AP,44581,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),-1
RETUR,BIOS JAYA .AP,44581,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),-1
RETUR,KALIMAS.Ap,44581,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),-7
SALES,BINTANG FARMA. CV,44581,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),24
SALES,BINTANG FARMA. CV,44581,NATURALLE BETA CAROTENE 6MG (BTL/30S),18
SALES,RIDHO.Ap,44581,MAXITON SOFT CAP (BTL/30S),1
SALES,PT. KALIMAS GLOBAL ASIA,44581,NATURALLE VIT E 250IU (BTL/30S),36
SALES,BINTANG FARMA. CV,44582,CHAMPS VIT C 100MG (BTL/30),24
SALES,TERANG FARMA.Ap,44582,MAXITON SOFT CAP (BTL/30S),1
SALES,TERANG FARMA.Ap,44582,NATURALLE FISH OIL 1000MG (BTL/60S),1
SALES,BINTANG FARMA. CV,44583,NATURALLE VIT E 250IU (BTL/30S),30
SALES,BINTANG FARMA. CV,44583,NATURALLE GARLIC OIL 3000MG (BTL/100S),24
SALES,ANUGRAH PERSADA.Ap,44583,NATURALLE FISH OIL 1000MG (BTL/60S),2
SALES,AGUNG.TO,44585,NATURALLE BETA CAROTENE 6MG (BTL/30S),24
SALES,AGUNG.TO,44585,NATURALLE VIT E 250IU (BTL/30S),36
SALES,AGUNG.TO,44585,NATURALLE FISH OIL 1000MG (BTL/60S),36
SALES,PT. KALIMAS GLOBAL ASIA,44585,NATURALLE FISH OIL 1000MG (BTL/60S),36
SALES,SOLO BARU.TO,44585,NATURALLE TONGKAT ALI PLUS (BTL/60),4
RETUR,JEMADI.Ap,44586,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),-1
RETUR,JEMADI.Ap,44586,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),-1
RETUR,MEKA.Ap,44586,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),-1
